algo,alphabet,text_size,pattern_size,sub_cnt,avg_time,avg_oper
cooler_kmp,binary,10000,2800,1,56301,118397
cooler_kmp,binary,10000,2900,1,65746,135673
cooler_kmp,binary,10000,3000,1,60729,125958
cooler_kmp,binary,100000,100,1,489340,4662
cooler_kmp,binary,100000,200,1,421575,8477
cooler_kmp,binary,100000,300,1,469133,13813
cooler_kmp,binary,100000,400,1,479039,18553
cooler_kmp,binary,100000,500,1,430069,22455
cooler_kmp,binary,100000,600,1,485271,27134
cooler_kmp,binary,100000,700,1,494472,32084
cooler_kmp,binary,100000,800,1,446057,35955
cooler_kmp,binary,100000,900,1,444941,39376
cooler_kmp,binary,100000,1000,1,426003,42857
cooler_kmp,binary,100000,1100,1,488819,51433
cooler_kmp,binary,100000,1200,1,499306,55393
cooler_kmp,binary,100000,1300,1,409269,52609
cooler_kmp,binary,100000,1400,1,431517,59597
cooler_kmp,binary,100000,1500,1,445436,66555
cooler_kmp,binary,100000,1600,1,403028,67158
cooler_kmp,binary,100000,1700,1,428886,73906
cooler_kmp,binary,100000,1800,1,444409,79335
cooler_kmp,binary,100000,1900,1,495189,83176
cooler_kmp,binary,100000,2000,1,444703,86356
cooler_kmp,binary,100000,2100,1,477141,94455
cooler_kmp,binary,100000,2200,1,444303,94337
cooler_kmp,binary,100000,2300,1,447201,97937
cooler_kmp,binary,100000,2400,1,483092,107955
cooler_kmp,binary,100000,2500,1,465488,110205
cooler_kmp,binary,100000,2600,1,466440,114615
cooler_kmp,binary,100000,2700,1,445870,118216
cooler_kmp,binary,100000,2800,1,472204,124275
cooler_kmp,binary,100000,2900,1,528561,140891
cooler_kmp,binary,100000,3000,1,507584,134955
cooler_kmp,binary,10000,100,2,74540,7306
cooler_kmp,binary,10000,200,2,75548,14984
cooler_kmp,binary,10000,300,2,65752,19823
cooler_kmp,binary,10000,400,2,74987,29446
cooler_kmp,binary,10000,500,2,77713,37874
cooler_kmp,binary,10000,600,2,80877,46182
cooler_kmp,binary,10000,700,2,81360,53892
cooler_kmp,binary,10000,800,2,72116,55131
cooler_kmp,binary,10000,900,2,91762,72549
cooler_kmp,binary,10000,1000,2,84818,74925
cooler_kmp,binary,10000,1100,2,88657,85722
cooler_kmp,binary,10000,1200,2,90202,92083
cooler_kmp,binary,10000,1300,2,93779,103270
cooler_kmp,binary,10000,1400,2,94106,109961
cooler_kmp,binary,10000,1500,2,103269,123217
cooler_kmp,binary,10000,1600,2,94185,123282
cooler_kmp,binary,10000,1700,2,98772,131502
cooler_kmp,binary,10000,1800,2,91097,127908
cooler_kmp,binary,10000,1900,2,92101,135588
cooler_kmp,binary,10000,2000,2,100218,150524
cooler_kmp,binary,10000,2100,2,108493,168759
cooler_kmp,binary,10000,2200,2,96432,155029
cooler_kmp,binary,10000,2300,2,108430,176563
cooler_kmp,binary,10000,2400,2,100767,170568
cooler_kmp,binary,10000,2500,2,110649,190423
cooler_kmp,binary,10000,2600,2,109105,194145
cooler_kmp,binary,10000,2700,2,116689,208902
cooler_kmp,binary,10000,2800,2,114420,207405
cooler_kmp,binary,10000,2900,2,117185,218294
cooler_kmp,binary,10000,3000,2,112537,218627
cooler_kmp,binary,100000,100,2,826226,6979
cooler_kmp,binary,100000,200,2,926446,15223
cooler_kmp,binary,100000,300,2,943822,23052
cooler_kmp,binary,100000,400,2,915353,29925
cooler_kmp,binary,100000,500,2,837489,35628
cooler_kmp,binary,100000,600,2,950298,47440
cooler_kmp,binary,100000,700,2,1026399,57457
cooler_kmp,binary,100000,800,2,899970,58726
cooler_kmp,binary,100000,900,2,1005460,73628
cooler_kmp,binary,100000,1000,2,893543,72527
cooler_kmp,binary,100000,1100,2,1002128,88359
cooler_kmp,binary,100000,1200,2,872101,84529
cooler_kmp,binary,100000,1300,2,989310,101711
cooler_kmp,binary,100000,1400,2,995033,109961
cooler_kmp,binary,100000,1500,2,857889,106578
cooler_kmp,binary,100000,1600,2,919316,117526
cooler_kmp,binary,100000,1700,2,958191,132012
cooler_kmp,binary,100000,1800,2,1022866,144099
cooler_kmp,binary,100000,1900,2,985758,150970
cooler_kmp,binary,100000,2000,2,1014465,160119
cooler_kmp,binary,100000,2100,2,862991,147979
cooler_kmp,binary,100000,2200,2,888556,157008
cooler_kmp,binary,100000,2300,2,961872,176563
cooler_kmp,binary,100000,2400,2,1033790,191440
cooler_kmp,binary,100000,2500,2,1006915,191923
cooler_kmp,binary,100000,2600,2,911350,191806
cooler_kmp,binary,100000,2700,2,1030968,216189
cooler_kmp,binary,100000,2800,2,979687,214963
cooler_kmp,binary,100000,2900,2,1026331,231340
cooler_kmp,binary,100000,3000,2,958584,228523
cooler_kmp,binary,10000,100,3,141376,13275
cooler_kmp,binary,10000,200,3,149062,27402
cooler_kmp,binary,10000,300,3,148543,40723
cooler_kmp,binary,10000,400,3,162154,57695
cooler_kmp,binary,10000,500,3,134346,60478
cooler_kmp,binary,10000,600,3,158388,82482
cooler_kmp,binary,10000,700,3,143113,88493
cooler_kmp,binary,10000,800,3,164439,115295
cooler_kmp,binary,10000,900,3,152094,116780
cooler_kmp,binary,10000,1000,3,157792,130669
cooler_kmp,binary,10000,1100,3,159825,143749
cooler_kmp,binary,10000,1200,3,160521,155390
cooler_kmp,binary,10000,1300,3,163482,167181
cooler_kmp,binary,10000,1400,3,164656,179631
cooler_kmp,binary,10000,1500,3,186290,215406
cooler_kmp,binary,10000,1600,3,172351,210108
cooler_kmp,binary,10000,1700,3,192266,240578
cooler_kmp,binary,10000,1800,3,199054,261214
cooler_kmp,binary,10000,1900,3,193531,264910
cooler_kmp,binary,10000,2000,3,186833,265667
cooler_kmp,binary,10000,2100,3,203942,297218
cooler_kmp,binary,10000,2200,3,213889,321933
cooler_kmp,binary,10000,2300,3,202991,314503
cooler_kmp,binary,10000,2400,3,210185,331781
cooler_kmp,binary,10000,2500,3,216015,349360
